Topic,Count,Representation,ESG_Categories
707,17,"['tax cuts', 'cuts jobs', 'cuts', 'jobs', 'jobs act', 'act tax', '2017 tax', 'referred tax', 'act 2017', 'tax act']","['Environmental', 'Social']"
751,16,"['product development', 'development product', 'development', 'design governance', 'progresses development', 'progresses', 'work progresses', 'governance product', 'stage production', 'tasks product']","['Environmental', 'Social']"
753,16,"['climate change', 'climate', 'effects climate', 'change sea', 'level rise', 'sea', 'sea level', 'global climate', 'frequency severity', 'disasters occurring']",['Environmental']
784,15,"['natural', 'natural disaster', 'disaster natural', 'disasters significant', 'disasters', 'natural disasters', 'significant natural', 'disaster', 'disasters natural', 'andnatural']",['Environmental']
812,15,"['euu', 'justice european', 'cjeu', 'court justice', 'invalidation euu', 'justice', 'invalidated', 'transitional period', 'invalidation', 'transitional']","['Environmental', 'Social']"
845,14,"['resources resources', 'resources', 'acquire resources', 'commitments attention', 'resources operational', 'address resources', 'advantages systems', 'resource advantages', 'resources operations', 'resources resource']",['Environmental']
874,14,"['resources resources', 'technical engineering', 'including technical', 'engineering resources', 'resources significant', 'resources', 'resources including', 'significant resources', 'engineering', 'resource resources']",['Environmental']
949,13,"['safety laws', 'health safety', 'safety', 'safety regulations', 'occupational', 'health', 'govern state', 'equipment local', 'governing management', 'governing hazardous']","['Environmental', 'Social']"
1022,12,"['attorneys general', 'attorneys', 'state attorneys', 'department', 'general department', 'commerce department', 'commerce', 'department commerce', 'department justice', 'justice']","['Environmental', 'Social']"
1064,11,"['energy', 'energy consumption', 'consumption associated', 'electricity', 'energy sources', 'consumption', 'associated products', 'andor energy', 'solar power', 'including unnecessary']",['Environmental']
1087,11,"['changes payment', 'payment ecosystem', 'material changes', 'ecosystem', 'behalf underlying', 'associated obligations', 'agent behalf', 'inscope', 'discharge associated', 'ecosystem collecting']",['Environmental']
1097,11,"['business adversely', 'affect business', 'adversely affect', 'adversely impact', 'impact business', 'adversely', 'affect', 'business', 'impact', '']",['Environmental']
1100,11,"['alternative required', 'adopt alternatives', 'required adopt', 'required develop', 'new solutions', 'develop alternative', 'alternative', 'alternatives required', 'alternative unable', 'given products']",['Environmental']
1109,11,"['diversion', 'resources diversion', 'management resources', 'resources divert', 'diversion management', 'divert resources', 'resources', 'divert', 'matters divert', 'tasks diversion']",['Environmental']
1227,9,"['data data', 'data code', 'code code', 'code data', 'technology data', 'code', 'data', 'technology', '', '']","['Environmental', 'Social']"
1230,9,"['development development', 'development generation', 'generation', 'generation development', 'development', '', '', '', '', '']","['Environmental', 'Social']"
1234,9,"['bonded', 'reclamation', 'reclamation obligations', 'amounts fully', 'extent bonded', 'fully collateralized', 'bonded amounts', 'bonded extent', 'obligations bonded', 'collateralized']",['Environmental']
1309,9,"['health health', 'health', 'health public', 'health members', 'status ill', 'health status', 'ill health', 'members health', 'ill', 'public health']","['Environmental', 'Social']"
1318,9,"['emissions', 'discharges', 'emissions discharges', 'air', 'emission', 'water', 'emission emission', 'discharges emissions', 'discharges waters', 'carbon emissions']",['Environmental']
1388,8,"['care legislation', 'health authority', 'exclusion participation', 'care programs', 'health care', 'care', 'health', 'authority expectations', 'authority requirements', 'drug biologic']","['Environmental', 'Social']"
1393,8,"['carbon dioxide', 'dioxide', 'natural gas', 'gases', 'carbon', 'gas', 'carbonfree', 'dioxide fuel', '13cacetate methane', 'gases carbon']",['Environmental']
