Topic,Count,Representation,ESG_Categories
388,25,"['protection consumer', 'consumer protection', 'consumer', 'protection', '1991', '1991 consumer', 'protection continued', 'significant collaboration', 'agencies consumer', 'act 1991']","['Social', 'Governance']"
420,24,"['health care', 'care', 'utilization', 'valuebased', 'drug pricing', 'changes utilization', 'health', 'medical cost', 'utilization patterns', 'patterns price']","['Environmental', 'Social']"
476,22,"['equity awards', 'awards', 'value equity', 'receive connection', 'consider value', 'connection employment', 'existing employees', 'awards receive', 'employees consider', 'equity']",['Social']
491,22,"['offensive', 'language', 'offensive offensive', 'kakkis', 'nols nols', 'nol', 'nols', 'languages', 'translated language', 'carryforwards offensive']",['Social']
522,21,"['engagement', 'engagement products', 'user engagement', 'user', 'decreased engagement', 'use engagement', 'level user', 'increase user', 'users', 'user growth']",['Social']
539,21,"['evolving industry', 'industry standards', 'standards evolving', 'evolving', 'standards', 'industry', 'evolve evolving', 'customers evolving', 'compete subject', 'changing endcustomer']","['Social', 'Governance']"
550,21,"['access unauthorized', 'unauthorized access', 'unauthorized', 'access', 'gained', 'access event', 'authorized users', 'access attempts', '2016 unidentified', 'actual attempted']",['Social']
552,21,"['research development', 'research', 'development activities', 'development efforts', 'development research', 'engage research', 'development', 'efforts research', 'activities research', 'activities develop']","['Environmental', 'Social']"
572,20,"['compliance compliance', 'compliance', 'broadly defined', 'andcompliance wide', 'add layers', 'compliance complying', 'compliance add', 'comparable nonu', 'class foreign', 'complexity compliance']","['Social', 'Governance']"
589,19,"['train', 'train train', 'training training', 'train training', 'training', 'training train', 'learn train', 'coaching', 'training track', 'track coaching']",['Social']
621,18,"['integration process', 'process require', 'significant time', 'integration', 'time resources', 'integration challenges', 'challenges', 'technological challenges', 'pose integration', 'challenges technological']",['Social']
631,18,"['technology technology', 'technology', 'technological technology', 'technology technological', 'technological', '', '', '', '', '']","['Environmental', 'Social']"
632,18,"['standards standards', 'standards', 'standards obligations', 'obligations standards', 'standards issues', 'standards listing', 'interpretations standards', 'conformance standards', 'obligations terms', 'proof']","['Social', 'Governance']"
670,17,"['health safety', 'safety', 'imposition protective', 'protective public', 'public safety', 'safety measures', 'hazardous high', 'related hazardous', 'measures health', 'safety imposition']",['Social']
693,17,"['plan model', 'model future', 'ability plan', 'future growth', 'growth including', 'including ability', 'growth strategy', 'growth growth', 'growth', 'manage future']",['Social']
699,17,"['networking market', 'customers networks', 'networks', 'added time', 'products added', 'networks contain', 'networks grown', 'multiple generations', 'market rapidly', 'grown evolved']",['Social']
707,17,"['tax cuts', 'cuts jobs', 'cuts', 'jobs', 'jobs act', 'act tax', '2017 tax', 'referred tax', 'act 2017', 'tax act']","['Environmental', 'Social']"
737,16,"['projects projects', 'projects', 'prioritization project', 'project prioritization', 'daneros project', 'project', 'daneros', 'prioritization', 'planned projects', 'project daneros']",['Social']
751,16,"['product development', 'development product', 'development', 'design governance', 'progresses development', 'progresses', 'work progresses', 'governance product', 'stage production', 'tasks product']","['Environmental', 'Social']"
811,15,"['transfers', 'union united', 'transfers personal', 'personal data', 'data european', 'european union', 'union', 'europe united', 'european', 'data eu']",['Social']
812,15,"['euu', 'justice european', 'cjeu', 'court justice', 'invalidation euu', 'justice', 'invalidated', 'transitional period', 'invalidation', 'transitional']","['Environmental', 'Social']"
885,14,"['sharing', 'sharing sharing', 'collaborations sharing', 'collaborations', 'collaboration', 'collaborate', 'collaborate shared', 'collaborators respect', 'collaboration collaborators', 'collaboration collaboration']",['Social']
924,13,"['confidence employee', 'employee retention', 'impact investor', 'transaction timeconsuming', 'timeconsuming particular', 'investor confidence', 'particular transaction', 'retention', 'possibility certain', 'retention possibility']",['Social']
926,13,"['compliance compliance', 'compliance comply', 'compliance program', 'compliance', 'compliance robust', 'programs despite', 'vigorous compliance', 'program place', 'place build', 'robust compliance']","['Social', 'Governance']"
933,13,"['social social', 'social', 'engineering social', 'social engineering', 'empathy', 'empathy social', 'social empathy', 'soc3 social', 'social soc3', 'social sis']",['Social']
946,13,"['oecd', 'development oecd', 'cooperation development', 'economic cooperation', 'beps', 'cooperation', 'organization economic', 'profit shifting', 'erosion profit', 'base erosion']",['Social']
949,13,"['safety laws', 'health safety', 'safety', 'safety regulations', 'occupational', 'health', 'govern state', 'equipment local', 'governing management', 'governing hazardous']","['Environmental', 'Social']"
988,12,"['political leadership', 'includingpolitical political', 'includingpolitical', 'leadership', 'political', 'environment political', 'leadership environment', 'andpolitical religion', 'include political', 'political andpolitical']","['Social', 'Governance']"
996,12,"['occupancy', 'housing', 'multifamily', 'housing alternatives', 'alternative housing', 'making alternative', 'rental', 'residents', 'rental rates', 'communities']",['Social']
1022,12,"['attorneys general', 'attorneys', 'state attorneys', 'department', 'general department', 'commerce department', 'commerce', 'department commerce', 'department justice', 'justice']","['Environmental', 'Social']"
1074,11,"['partnerships', 'partnerships partnerships', 'manage general', 'communities manage', 'advisor partnerships', 'partners communities', 'partner advisor', 'partnerships terms', 'representative partnerships', 'partnerships partnership']",['Social']
1094,11,"['human error', 'error human', 'human', 'error', 'possibility human', 'error including', 'errors possibility', 'errors human', 'human errors', 'malfeasance human']",['Social']
1112,11,"['hire hire', 'hire hiring', 'hiring hire', 'hire', 'hiring', 'apply hired', 'hiring hiring', 'hiring apply', 'hired', 'apply']",['Social']
1127,11,"['eu announced', 'announced eu', 'union european', 'eu eu', 'european union', 'eu', 'union', 'european', 'eu european', 'union countries']",['Social']
1136,10,"['libel', 'harassment', 'defamation', 'whistleblower', 'whistleblower litigation', 'whistleblower whistleblower', 'harassment libel', 'defamation harassment', 'defamation libel', 'harassment defamation']",['Social']
1160,10,"['equity equity', 'equity inclusion', 'inclusion objectives', 'sales equity', 'significant proceeds', 'proceeds sales', 'equity', 'inclusion', 'private equity', 'enterprise equity']",['Social']
1227,9,"['data data', 'data code', 'code code', 'code data', 'technology data', 'code', 'data', 'technology', '', '']","['Environmental', 'Social']"
1230,9,"['development development', 'development generation', 'generation', 'generation development', 'development', '', '', '', '', '']","['Environmental', 'Social']"
1270,9,"['affect user', 'trust engagement', 'user trust', 'foregoing developments', 'user growth', 'engagement', 'growth user', 'developments negatively', 'user', 'user engagement']",['Social']
1273,9,"['discrimination', 'antidiscrimination', 'antidiscrimination antidiscrimination', 'alternatives claims', 'discrimination harassment', 'discrimination basis', 'conduct identify', 'discrimination antidiscrimination', 'claims discrimination', 'alleging discrimination']",['Social']
1309,9,"['health health', 'health', 'health public', 'health members', 'status ill', 'health status', 'ill health', 'members health', 'ill', 'public health']","['Environmental', 'Social']"
1335,8,"['engagement engagement', 'engagement', 'degrees engagement', 'engagement suffer', 'suffer letters', 'engagement varying', 'letters engagement', 'degrees', 'varying degrees', 'letters']",['Social']
1388,8,"['care legislation', 'health authority', 'exclusion participation', 'care programs', 'health care', 'care', 'health', 'authority expectations', 'authority requirements', 'drug biologic']","['Environmental', 'Social']"
1396,8,"['retention retention', 'retention', '', '', '', '', '', '', '', '']",['Social']
1429,8,"['standards changes', 'new standards', 'existing standards', 'result new', 'changes existing', 'standards', 'exceptions result', 'number qualifications', 'qualifications exceptions', 'obligations evolving']","['Social', 'Governance']"
1432,8,"['integrate integrate', 'integrate', 'integrations integrate', 'integrate integrations', 'integrating integrate', 'integration integrate', 'integrate integration', 'integrations', 'integrating', 'integration']",['Social']
1448,8,"['general data', 'protection regulation', 'data protection', 'unions general', 'european unions', 'european data', 'european', 'unions', 'protection', 'protection regulator']","['Social', 'Governance']"
