Topic,Count,Representation,ESG_Categories
453,23,"['government contracts', 'electronic contracts', 'contracts communications', 'contracts government', 'contracts', 'contracts electronic', 'electronic', 'government', 'government contracting', 'communications']",['Governance']
479,22,"['brand recognition', 'recognition', 'brand', 'greater brand', 'recognition brand', 'recognition reputation', 'recognition value', 'reputation greater', 'brand reputation', 'reputation']",['Governance']
502,22,"['directors directors', 'directors', 'director independence', '14 includes', 'individual directors', 'item 14', 'includes directors', 'independence 101', 'directors individual', 'directors director']",['Governance']
507,22,"['controls controls', 'controls', 'controls control', 'methodologies methodologies', 'methodologies', 'controls procedures', 'procedures controls', 'testing', 'procedures', 'controls evaluation']",['Governance']
525,21,"['investors investors', 'company investors', 'interacting public', 'interacting', 'investors', 'commercial counterparties', 'investors interacting', 'investors commercial', 'including investment', 'public company']",['Governance']
539,21,"['evolving industry', 'industry standards', 'standards evolving', 'evolving', 'standards', 'industry', 'evolve evolving', 'customers evolving', 'compete subject', 'changing endcustomer']","['Social', 'Governance']"
541,21,"['execute', 'execute business', 'devote greater', 'resources development', 'ability execute', 'strategy', 'able devote', 'strategy pursue', 'strategies', 'strategy successfully']",['Governance']
563,20,"['audits', 'regulatory audits', 'audit', 'audited', 'subject audits', 'internal audit', 'audit function', 'audit group', 'audit regulatory', 'audit final']","['Environmental', 'Governance']"
572,20,"['compliance compliance', 'compliance', 'broadly defined', 'andcompliance wide', 'add layers', 'compliance complying', 'compliance add', 'comparable nonu', 'class foreign', 'complexity compliance']","['Social', 'Governance']"
582,20,"['procurement', 'procurement integrity', 'procurements', 'procurement regulations', 'believe results', 'subject procurement', 'results procurement', 'procurement laws', 'integrity', 'regulated']",['Governance']
632,18,"['standards standards', 'standards', 'standards obligations', 'obligations standards', 'standards issues', 'standards listing', 'interpretations standards', 'conformance standards', 'obligations terms', 'proof']","['Social', 'Governance']"
636,18,"['erisa', 'funds accounts', 'prohibited transaction', 'erisa section', '4975', '4975 code', 'section 4975', 'plan assets', 'prohibited', 'fiduciary responsibility']",['Governance']
644,18,"['chair', 'chair board', 'directors chair', 'board', 'board directors', 'board member', 'chairman board', 'directors chairperson', 'directors', 'member officer']",['Governance']
653,18,"['export controls', 'controls export', 'export', 'controls', 'importexport controls', 'import controls', 'export import', 'importexport', 'controls import', 'increased export']",['Governance']
684,17,"['data privacy', 'privacy security', 'protection privacy', 'privacy', 'privacy data', 'privacy customer', 'customer privacy', 'security practices', 'security issues', 'issues developments']",['Governance']
698,17,"['operations reputation', 'liquidity reputation', 'reputation liquidity', 'reputation financial', 'reputation stock', 'price reputation', 'reputation', 'reputation results', 'reputation reputation', 'earnings reputation']",['Governance']
706,17,"['bribery act', 'bribery', 'act bribery', 'act 2010', 'uk bribery', '2010', '2010 bribery', 'act uk', 'uk', 'act']",['Governance']
744,16,"['ownership change', 'ownership', 'corporation undergoes', 'undergoes ownership', 'undergoes', 'ownership changes', 'change ownership', 'experience ownership', 'threeyear period', 'stock ownership']",['Governance']
836,14,"['security monitoring', 'threats real', 'real time', 'monitoring', 'detect threats', 'securely', 'security', 'operation centers', 'securely products', '2020 launched']",['Governance']
886,14,"['confidentiality agreements', 'confidentiality', 'agreements employees', 'employees confidentiality', 'nondisclosure agreements', 'enter confidentiality', 'nondisclosure', 'employees nondisclosure', 'agreements', 'agreements parties']",['Governance']
926,13,"['compliance compliance', 'compliance comply', 'compliance program', 'compliance', 'compliance robust', 'programs despite', 'vigorous compliance', 'program place', 'place build', 'robust compliance']","['Social', 'Governance']"
952,13,"['breach fiduciary', 'fiduciary duty', 'action asserting', 'duty', 'fiduciary', 'asserting', 'asserting claim', 'claim breach', 'duty owed', 'ii action']",['Governance']
988,12,"['political leadership', 'includingpolitical political', 'includingpolitical', 'leadership', 'political', 'environment political', 'leadership environment', 'andpolitical religion', 'include political', 'political andpolitical']","['Social', 'Governance']"
992,12,"['contracts contracts', 'contracts', 'contract existing', 'contracts general', 'general contract', 'existing contracts', 'contracts certain', 'contract contracts', 'certain contracts', 'contracts contract']",['Governance']
997,12,"['business strategy', 'strategy business', 'strategy', 'overall business', 'strategy valuable', 'strategy sales', 'valuable important', 'strategy overall', 'strategy resources', 'strategy believe']",['Governance']
1018,12,"['anticorruption', 'corruption', 'parts world', 'experienced governmental', 'governmental corruption', 'corruption degree', 'operate parts', 'world experienced', 'countries conduct', 'anticorruption antimoney']",['Governance']
1054,11,"['reporting financial', 'financial reporting', 'reporting', 'reporting systems', 'increased financial', 'burdens complexity', 'functions increased', 'cost manage', 'auditing financial', 'reporting time']",['Governance']
1179,10,"['lawsuits directors', 'discourage lawsuits', 'directors discourage', 'discourage', 'lawsuits', 'directors', 'presented', 'associated presented', 'corporate opportunities', 'director associated']",['Governance']
1182,10,"['cybersecurity requirements', 'cybersecurity', 'regulation cybersecurity', 'authorization process', 'cybersecurity priority', 'cmmc federal', 'cybersecurity including', 'cmmc', 'certification cmmc', 'direct regulation']",['Governance']
1203,10,"['procedures procedures', 'procedures', 'areas sharing', 'procedures related', 'related areas', 'sharing procedures', 'surgical procedures', 'procedures surgical', 'surgical', 'sharing']",['Governance']
1231,9,"['reputation reputation', 'reputation', '', '', '', '', '', '', '', '']",['Governance']
1255,9,"['business damage', 'reputation materially', 'materially harm', 'reputation competitive', 'damage reputation', 'position harm', 'reputation stockholders', 'stockholders harm', 'reputation', 'harm reputation']",['Governance']
1317,9,"['cybersecurity insurance', 'cyber', 'maintain cyber', 'insurance policies', 'cybersecurity', 'cover', 'insurance', 'connection privacy', 'act war', 'associated damages']",['Governance']
1320,9,"['privacy directive', 'directive privacy', 'directive', 'privacy regulation', 'privacy', 'directive united', 'eu proposed', 'introduce privacy', 'regulation law', 'law united']",['Governance']
1429,8,"['standards changes', 'new standards', 'existing standards', 'result new', 'changes existing', 'standards', 'exceptions result', 'number qualifications', 'qualifications exceptions', 'obligations evolving']","['Social', 'Governance']"
1448,8,"['general data', 'protection regulation', 'data protection', 'unions general', 'european unions', 'european data', 'european', 'unions', 'protection', 'protection regulator']","['Social', 'Governance']"
1465,8,"['reporting reporting', 'reports reporting', 'report reporting', 'following reports', 'reporting following', 'reporting report', 'reporting', 'reports', 'following', 'report']",['Governance']
1466,8,"['reputation reputation', 'performance reputation', 'including reputation', 'reputation performance', 'reputation including', 'reputation', 'performance performance', 'performance', 'including', '']",['Governance']
1469,8,"['capital structure', 'structure', 'structure capital', 'changes capital', 'structure including', 'perform significant', 'limitations capital', 'restructure capital', 'structure perform', 'significant analysis']",['Governance']
