Topic,Count,Representation,ESG_Categories
1067,12,"['market awareness', 'awareness company', 'awareness', 'unable increase', 'increase market', 'market acceptance', 'accepted adopted', 'adopted consumers', 'awareness new', 'acceptance product']",['Social']
1082,12,"['retention retention', 'retention', '', '', '', '', '', '', '', '']",['Social']
1113,11,"['standards standards', 'standards', 'conformance standards', 'proof', 'standards conformance', 'proof standards', 'interpretations terms', 'standards proof', 'terms standards', 'varying standards']","['Social', 'Governance']"
1128,11,"['health safety', 'safety health', 'safety', 'health', 'prevention programs', 'reactions health', 'emergency response', 'safety human', 'safety loss', 'safety reactions']","['Environmental', 'Social']"
1144,11,"['jobs act', 'cuts jobs', 'tax cuts', 'jobs', 'cuts', '2017 tax', '2017', 'tax act', 'act tax', 'act 2017']","['Environmental', 'Social']"
1153,11,"['development product', 'product development', 'development', 'tasks product', 'goals product', 'development tasks', 'development goals', 'tasks', 'product', 'goals']","['Environmental', 'Social']"
1184,11,"['social social', 'social', 'empathy social', 'social empathy', 'empathy', 'distancing social', 'social sis', 'sis social', 'networking social', 'sis']",['Social']
1216,10,"['language', 'languages languages', 'language language', 'languages', 'gender color', 'color sex', 'programming languages', 'color', 'sex', 'sex cultural']",['Social']
1236,10,"['united kingdom', 'european union', 'kingdom', 'union', 'union january', 'withdrawal united', 'eu including', 'withdrawal', 'european', 'kingdom european']",['Social']
1255,10,"['user engagement', 'engagement', 'engagement level', 'level user', 'user', 'engagement user', 'user growth', 'changed time', 'time user', 'patterns changed']",['Social']
1264,10,"['strategic partnerships', 'partnerships', 'partnerships strategic', 'businesses strategic', 'partnerships businesses', 'strategic relationships', 'strategic', 'dispositions business', 'retaining strategic', 'played strategic']",['Social']
1282,10,"['value added', 'added', 'valueadded', 'valueadded value', 'valueadded valueadded', 'added valueadded', 'added value', 'value', '', '']",['Social']
1334,9,"['attorneys general', 'attorneys', 'state attorneys', 'general state', 'department justice', 'justice', 'agency dcma', 'management agency', 'justice state', 'joined number']","['Environmental', 'Social']"
1335,9,"['human', 'human capital', 'human resource', 'resource human', 'capital management', 'resource', '70 workforce', '31 roughly', 'roughly', 'resources january']",['Social']
1382,9,"['growth grow', 'growth growth', 'grow growing', 'grow growth', 'growing growth', 'grow', 'growth', 'growing', '', '']",['Social']
1399,9,"['libel', 'defamation', 'defamation libel', 'harassment', 'defamation harassment', 'harassment defamation', 'harassment libel', 'libel defamation', 'libel libel', 'libel harassment']",['Social']
1400,9,"['health authority', 'health care', 'care', 'health', 'authority requirements', 'changes fdas', 'care pricing', 'care laws', 'act measures', 'authority expectations']","['Environmental', 'Social']"
1469,8,"['sharing sharing', 'sharing', 'collaboration sharing', 'sharing collaboration', 'collaboration', '', '', '', '', '']",['Social']
1490,8,"['engagement engagement', 'engagement', 'degrees engagement', 'engage engagement', 'engagement engage', 'engagement varying', 'interact engagement', 'interact', 'degrees', 'varying degrees']",['Social']
1521,8,"['procedures policies', 'policies procedures', 'procedures', 'policies', 'conduct policies', 'procedures practices', 'practices conduct', 'conduct', 'practices', '']","['Social', 'Governance']"
1531,8,"['safety laws', 'health safety', 'safety', 'occupational', 'safety health', 'health', 'administration various', 'governing manufacture', 'health administration', 'areas worker']","['Environmental', 'Social']"
1551,8,"['public safety', 'safety measures', 'imposition protective', 'protective public', 'protective', 'safety', 'imposition', 'implement varying', 'measure following', 'governments affected']",['Social']
