Topic,Count,Representation,ESG_Categories
720,17,"['proprietary technology', 'technology proprietary', 'proprietary', 'proprietary technologies', 'protect proprietary', 'technology', 'ability protect', 'respect proprietary', 'significantly proprietary', 'advantages protect']","['Environmental', 'Social']"
757,16,"['effects climate', 'climate change', 'climate', 'change effects', 'change climate', 'sea level', 'change sea', 'level rise', 'sea', 'rise effects']",['Environmental']
790,16,"['public health', 'health crises', 'crises', 'crises public', 'health emergencies', 'emergencies', 'health', 'health emergency', 'threatened public', 'actual threatened']","['Environmental', 'Social']"
811,15,"['health issues', 'issues public', 'public health', 'health', 'health problems', 'issues', 'public', 'health measures', 'health issue', 'currently cause']","['Environmental', 'Social']"
846,15,"['bonded', 'reclamation', 'reclamation obligations', 'amounts fully', 'bonded extent', 'extent bonded', 'fully collateralized', 'bonded amounts', 'cash perform', 'obligations occur']",['Environmental']
849,15,"['infrastructure infrastructure', 'infrastructure', 'architecture infrastructure', 'architecture', 'infrastructure management', 'resources architecture', 'infrastructure resources', 'management support', 'support infrastructure', 'infrastructure operations']",['Environmental']
871,15,"['climaterelated risks', 'climate change', 'climate', 'climaterelated', 'risks business', 'inherent climaterelated', 'change global', 'business conducted', 'establishing robust', 'programs partnering']",['Environmental']
959,13,"['capital requirements', 'requirements capital', 'capital adequacy', 'capital', 'mandatory capitalization', '2023 capital', 'beginning 2023', 'company licensing', 'capitalization rd', 'adequacy including']","['Environmental', 'Social']"
996,13,"['disasters occurring', 'natural disasters', 'frequency', 'occurring frequently', 'climate', 'disasters', 'frequency severity', 'climate change', 'global climate', 'occurring']",['Environmental']
1128,11,"['health safety', 'safety health', 'safety', 'health', 'prevention programs', 'reactions health', 'emergency response', 'safety human', 'safety loss', 'safety reactions']","['Environmental', 'Social']"
1144,11,"['jobs act', 'cuts jobs', 'tax cuts', 'jobs', 'cuts', '2017 tax', '2017', 'tax act', 'act tax', 'act 2017']","['Environmental', 'Social']"
1153,11,"['development product', 'product development', 'development', 'tasks product', 'goals product', 'development tasks', 'development goals', 'tasks', 'product', 'goals']","['Environmental', 'Social']"
1155,11,"['natural disaster', 'natural', 'disasters manmade', 'disaster', 'disaster natural', 'disasters', 'manmade disasters', 'significant natural', 'disasters natural', 'manmade']",['Environmental']
1168,11,"['business adversely', 'affect business', 'adversely affect', 'adversely impact', 'adversely', 'impact business', 'affect', 'business', 'impact', '']",['Environmental']
1183,11,"['mbs portfolio', 'consists', 'portfolio consists', 'consists premium', 'marketable', 'mbs', 'premium securities', 'marketable securities', 'portfolio', 'associated mbs']",['Environmental']
1228,10,"['alternative required', 'adopt alternatives', 'required adopt', 'alternatives', 'required develop', 'develop alternative', 'alternative', 'adopts', 'arise required', 'adopts alternative']",['Environmental']
1250,10,"['drought', 'drought drought', 'drought including', 'including drought', 'drought desertification', 'desertification', 'including', '', '', '']",['Environmental']
1259,10,"['flooding', 'flooding flooding', 'flooding umbrella', 'umbrella', 'umbrella flooding', '', '', '', '', '']",['Environmental']
1334,9,"['attorneys general', 'attorneys', 'state attorneys', 'general state', 'department justice', 'justice', 'agency dcma', 'management agency', 'justice state', 'joined number']","['Environmental', 'Social']"
1386,9,"['land', 'land use', 'public lands', 'lands', 'certain land', 'confirm contested', 'land landuse', 'use permits', 'use land', 'rights construction']",['Environmental']
1400,9,"['health authority', 'health care', 'care', 'health', 'authority requirements', 'changes fdas', 'care pricing', 'care laws', 'act measures', 'authority expectations']","['Environmental', 'Social']"
1499,8,"['regulations rules', 'rules regulations', 'rules', 'guidance rules', 'regulations terms', 'regulations guidance', 'regulations regulations', 'regulations', 'guidance', 'terms']","['Environmental', 'Governance']"
1531,8,"['safety laws', 'health safety', 'safety', 'occupational', 'safety health', 'health', 'administration various', 'governing manufacture', 'health administration', 'areas worker']","['Environmental', 'Social']"
1568,8,"['air transport', 'availability air', 'transportation reduced', 'disruptions transportation', 'restrictions disruptions', 'transportation', 'reduced availability', 'transport', 'air', 'social behaviors']",['Environmental']
1578,8,"['postchange income', 'offset postchange', 'postchange', 'prechange', 'income limited', 'use prechange', 'offset', 'nol', 'nol carryforwards', 'taxes limited']",['Environmental']
1579,8,"['future taxable', 'taxable income', 'taxable', 'offset future', 'forward offset', 'reduce future', 'available offset', 'offset', 'ownership changes', 'limitations available']",['Environmental']
