Name,Representation,Count,ESG_Categories
164_dividends_board_board directors_directors,"dividends,board,board directors,directors,payment,discretion,contractual restrictions,discretion board,pay,considerations,payment dividends,capital requirements",11,"Social,Governance"
167_estimates_included_prepared_report,"estimates,included,prepared,report,reserves estimated,month,included report,estimates reserves,average,sec,guidelines,unweighted",11,Governance
169_retirement_funding requirements_plans_assumptions used,"retirement,funding requirements,plans,assumptions used,funding,pension,actuarial,postretirement,actuarial assumptions,compensation,assumptions,return",11,Governance
182_outcome_proceedings_litigation_judgments,"outcome,proceedings,litigation,judgments,pending,change business,pending litigation,outcome proceedings,liability penalties,proceedings result,penalties sanctions,business practices",10,Governance
184_environmental liabilities_recoverable reserves_recoverable_potential environmental,"environmental liabilities,recoverable reserves,recoverable,potential environmental,andpotential,operating costs,reserves future,assessment,liabilities,future oil,costs potential,requires",10,"Environmental,Governance"
197_data protection_protection laws_privacy_protection,"data protection,protection laws,privacy,protection,data,personal data,applicable data,laws,fines penalties,customer,fines,sensitive",8,Governance
209_minimize_management systems_risk management_management,"minimize,management systems,risk management,management,spills,designing,events example,health environmental,safe reliable,program effective,operations control,unexpected incidents",7,Governance
220_changes environmental_changes_laws_legal,"changes environmental,changes,laws,legal,rules regulations,regulations,environmental laws,result delayed,changes result,handling storage,businesses operate,business impacted",6,Governance
223_locations_stages evaluation_various stages_ready,"locations,stages evaluation,various stages,ready,drilling locations,ranging,substantial additional,require substantial,drill,stages,activities respect,evaluation",6,Governance
225_executive order_13783_order 13783_president trump,"executive order,13783,order 13783,president trump,executive,president,2017 president,trump,march,order,energy independence,independence",6,Governance
