Name,Representation,Count,ESG_Categories
228_compensation expense_million stock_based compensation_stock based,"compensation expense,million stock,based compensation,stock based,secondary,compensation,expense related,13 consolidated,stock,described note,note 13,stock sales",19,Governance
242_tax laws_changes_changes tax_tax,"tax laws,changes,changes tax,tax,tax rates,laws,jurisdictions,effective tax,laws regulations,rates changes,intercompany,regulations",18,Governance
247_committee_audit committee_audit_board,"committee,audit committee,audit,board,directors,committee board,board directors,development selection,governance,corporate governance,selection,reviewed",17,Governance
250_incur_compliance costs_regulations_environmental,"incur,compliance costs,regulations,environmental,continue incur,remediation,additional costs,compliance,laws regulations,cleanup,costs comply,natural resource",17,"Environmental,Governance"
268_repaid_received cash_payments mbs_state aid,"repaid,received cash,payments mbs,state aid,received,decision,aid,2019 received,principal payments,200,912,certain direct",16,Governance
299_penalties related_related unrecognized_penalties_unrecognized tax,"penalties related,related unrecognized,penalties,unrecognized tax,unrecognized,tax expense,tax benefits,company recognizes,income tax,recognizes,component income,accrued penalties",14,Governance
303_3million_3million 2019_million fiscal_2020 million,"3million,3million 2019,million fiscal,2020 million,80million,diligence,timing orders,2018 mainly,517 million,compared 82,2019 3million,517",14,Governance
310_forfeitures_forfeiture_forfeiture rate_january1 2018,"forfeitures,forfeiture,forfeiture rate,january1 2018,periods actual,estimated forfeitures,occur,net estimated,subsequent periods,compensation,revise,january1",14,Governance
322_attention_managements attention_litigation_result substantial,"attention,managements attention,litigation,result substantial,divert,diversion,divert managements,resources,substantial costs,attention resources,defend,costly",13,Governance
326_export_encryption_authorizations_country,"export,encryption,authorizations,country,laws,laws regulations,import,import export,encryption technology,export authorizations,regulations,controls",13,Governance
344_distinct_distinct performance_ssp distinct_performance obligation,"distinct,distinct performance,ssp distinct,performance obligation,ssp,judgment required,judgment,determine ssp,required determine,obligation,performance,performance obligations",12,"Environmental,Governance"
349_accounting standards_standards_standards update_standards board,"accounting standards,standards,standards update,standards board,adopted accounting,606,topic 606,new accounting,codification topic,accounting,adopted,standard",12,"Environmental,Governance"
359_risk free_free rate_yield_free,"risk free,free rate,yield,free,treasury,expected term,risk,effect time,implied,expected,rate,relying",12,"Environmental,Governance"
360_internal trade_growth internal_broadridge_trade,"internal trade,growth internal,broadridge,trade,record,metrics,growth,metricswe,management measures,select operating,understanding management,ongoing operational",12,Governance
367_exceeds_unit exceeds_carrying_reporting units,"exceeds,unit exceeds,carrying,reporting units,reporting,carrying value,quantitative impairment,assessment concluded,values performance,test required,goodwill considered,higher carrying",11,Governance
374_jobs act_jobs_emerging growth_transition period,"jobs act,jobs,emerging growth,transition period,growth company,emerging,extended,revised accounting,new revised,standards,transition,act",11,"Environmental,Governance"
402_interests_noncontrolling_noncontrolling interests_controlling,"interests,noncontrolling,noncontrolling interests,controlling,controlling interests,non controlling,interests continuing,voting,primarily noncontrolling,interests net,controlling financial,surface technologies",10,Governance
414_fiduciary_wealth_broadridges_2019 acquired,"fiduciary,wealth,broadridges,2019 acquired,provider,firms,post trade,solutions,retirement,wealth management,broadridge,providing",10,"Environmental,Governance"
435_typical_management fees_range_funds typical,"typical,management fees,range,funds typical,fees,credit typical,equity funds,estate equity,management,opportunities,real estate,estate",9,Governance
465_average management_management contract_contract term_closing,"average management,management contract,contract term,closing,funds strategy,permanent,funds,strategy,average,date,contract,management",8,Governance
466_city_va_san diego_lake city,"city,va,san diego,lake city,beach,lake,san,diego,ms,redondo beach,redondo,independence",8,Governance
477_directors_board directors_delaware_bylaws,"directors,board directors,delaware,bylaws,board,certificate incorporation,incorporation,provisions,takeover,certificate,stockholders,stockholder",8,Governance
537_control financial_internal control_financial reporting_internal,"control financial,internal control,financial reporting,internal,internal controls,control,reporting,implement maintain,material weaknesses,weaknesses,ability accurately,report financial",7,Governance
546_applications_strategy_teams_cloud new,"applications,strategy,teams,cloud new,collaboration tools,benefits platform,believe platform,expand deployment,flexibility customers,platform currently,multicloud,empower",6,Governance
549_considered appropriate_net penalties_provisions changes_taxes includes,"considered appropriate,net penalties,provisions changes,taxes includes,reserve,reserves,related net,provision,provision income,penalties,appropriate,provisions",6,Governance
