Name,Representation,Count,ESG_Categories
309_fee revenue_fee_recurring_organic,"fee revenue,fee,recurring,organic,driven fee,recurring fee,fee revenues,event driven,revenue growth,organic growth,growth,events corporate",14,Environmental
312_operating property_land holding_canyon project_canyon,"operating property,land holding,canyon project,canyon,permitting land,comprised,acquired operating,permitting,apartment homes,v2o5,holding,land",14,Environmental
313_pricing pressure_pressure_pricing_video,"pricing pressure,pressure,pricing,video,competition,offset pricing,installed base,viewing,protests,competitor,customers continue,continue experience",13,Environmental
319_development expenses_expenses increased_research development_research,"development expenses,expenses increased,research development,research,development,2018 research,2019 research,percent year,expenses 2019,increased percent,percent 2019,percent",13,Environmental
325_air act_clean air_epa_clean,"air act,clean air,epa,clean,developments,request,regulatory,certain information,air,detailed discussion,issues,discussions",13,Environmental
344_distinct_distinct performance_ssp distinct_performance obligation,"distinct,distinct performance,ssp distinct,performance obligation,ssp,judgment required,judgment,determine ssp,required determine,obligation,performance,performance obligations",12,"Environmental,Governance"
349_accounting standards_standards_standards update_standards board,"accounting standards,standards,standards update,standards board,adopted accounting,606,topic 606,new accounting,codification topic,accounting,adopted,standard",12,"Environmental,Governance"
352_tax returns_authorities_tax authorities_returns,"tax returns,authorities,tax authorities,returns,audits,examination income,examination,state foreign,foreign tax,addition subject,subject audit,income tax",12,Environmental
359_risk free_free rate_yield_free,"risk free,free rate,yield,free,treasury,expected term,risk,effect time,implied,expected,rate,relying",12,"Environmental,Governance"
363_minimum tax_cuts jobs_tax cuts_cuts,"minimum tax,cuts jobs,tax cuts,cuts,act,jobs act,jobs,tax act,foreign minimum,depreciation deductions,expensing,accelerated depreciation",11,Environmental
374_jobs act_jobs_emerging growth_transition period,"jobs act,jobs,emerging growth,transition period,growth company,emerging,extended,revised accounting,new revised,standards,transition,act",11,"Environmental,Governance"
414_fiduciary_wealth_broadridges_2019 acquired,"fiduciary,wealth,broadridges,2019 acquired,provider,firms,post trade,solutions,retirement,wealth management,broadridge,providing",10,"Environmental,Governance"
415_tax deductible_deductible_goodwill_goodwill primarily,"tax deductible,deductible,goodwill,goodwill primarily,primarily tax,non deductible,cuts jobs,tax cuts,cuts,jobs act,jobs,tax",10,Environmental
421_outflows_outflows partially_emissions_cash outflows,"outflows,outflows partially,emissions,cash outflows,partially offset,partially,carbon,cash inflows,offset,inflows,scope,offset 25",10,Environmental
454_solar_tax credit_itc_solar energy,"solar,tax credit,itc,solar energy,section,federal government,48,claim,claim section,solar power,energy,taxpayer",9,Environmental
455_solar_energy_solar energy_companies,"solar,energy,solar energy,companies,utility companies,energy storage,storage,primary competitors,based price,highly competitive,compete,storage systems",9,Environmental
463_standby_white mesa_uranium recovery_white,"standby,white mesa,uranium recovery,white,mesa,recovery,standby costs,lower levels,uranium,low levels,prolonged,vanadium recovery",8,Environmental
488_delaware_restated certificate_certificate incorporation_action,"delaware,restated certificate,certificate incorporation,action,exclusive,incorporation,amended restated,federal district,restated,certificate,court,district",8,Environmental
557_used operating_offset 15_remediation activities_attributable foreign,"used operating,offset 15,remediation activities,attributable foreign,activities 30,reclamation remediation,operating activities,reclamation,reflected,cash hand,207,35 million",6,Environmental
