Topic,Count,Name,Representation,Representative_Docs
9,60,9_dodd frank_dodd_frank_swaps,"['dodd frank', 'dodd', 'frank', 'swaps', 'frank act', 'cftc', 'exception', 'clearing', 'end', 'act', 'end user', 'user']","['We qualify for the End User Exception and will utilize it if the Mandatory Clearing Rule is expanded to cover swaps in which we participate, we qualify for the Non-Financial End User Exception and will not be required to post margin in connection with uncleared swaps under the Margin Rule, and our existing and anticipated hedging positions constitute ""bona fide hedging positions"" under the Latest-Proposed Position Limit Rule, and we intend to undertake the filing, recordkeeping and reporting necessary to utilize the bona fide hedging position exemption under the Latest-Proposed Position Limit Rule if and when it becomes effective, so we do not expect to be directly affected by any of such rules.', 'Although some of the rules necessary to implement the Dodd-Frank Act remain to be adopted, the CFTC, the SEC and the Prudential Regulators have issued many rules to implement the Dodd-Frank Act, including a rule, which we refer to as the 38Table of ContentsMandatory Clearing Rule, requiring clearing of hedges, or swaps, that are subject to it (currently, only certain interest rate and credit default swaps, which we do not presently have), a rule, which we refer to as the End User Exception, establishing an end user exception to the Mandatory Clearing Rule, a rule, which we refer to as the Margin Rule, setting forth collateral requirements in connection with swaps that are not cleared and also an exception to the Margin Rule for end users that are not financial end users, which exception we refer to as the Non-Financial End User Exception, and a rule, subsequently vacated by the United States District Court for the District of Columbia and remanded to the CFTC for further proceedings, imposing position limits.', 'Although some of the rules necessary to implement the Dodd-Frank Act remain to be adopted, the CFTC, the SEC and the Prudential Regulators have issued many rules to implement the Dodd-Frank Act, including a rule, which we refer to as the ""Mandatory Clearing Rule, "" requiring clearing of hedges, or swaps, that are subject to it (currently, only certain interest rate and credit default swaps, which we do not presently have), a rule, which we refer to as the ""End User Exception, "" establishing an ""end user"" exception to the Mandatory Clearing Rule, a rule, which we refer to as the ""Margin Rule, "" setting forth collateral requirements in connection with swaps that are not cleared and also an exception to the Margin Rule for end users that are not financial end users, which exception we refer to as the ""Non-Financial End User Exception, "" and a rule, subsequently vacated by the United States District Court for the District of Columbia and remanded to the CFTC for further proceedings, imposing position limits.']"
10,54,10_predict_time predict_possible time_possible,"['predict', 'time predict', 'possible time', 'possible', 'enacted', 'legislation', 'predict effect', 'time', 'impact business', 'cftc', 'regulations', 'future laws']","['Although it is not possible at this time to predict how legislation or new regulations that may be adopted to address GHG emissions would impact our business, any such future laws and regulations imposing reporting obligations on, or limiting emissions of GHGs from, our equipment and operations could require us to incur costs to reduce emissions of GHGs associated with our operations.', 'Although it is not possible at this time to predict how this legislation or any new regulations that may be adopted to address GHG emissions would impact our business, any such future laws and regulations that limit emissions of GHGs could adversely affect demand for the oil and natural gas that we produce.', 'It is not possible at this time to predict the timing and effect of climate change or to predict the effect of the Paris Agreement or whether additional GHG legislation, regulations or other measures will be adopted at the federal, state or local levels.']"
11,53,11_million outstanding_credit facility_facility_million,"['million outstanding', 'credit facility', 'facility', 'million', 'available borrowing', 'revolving credit', 'credit', 'revolving', 'outstanding', 'borrowing', 'outstanding borrowings', 'december31 2019']","['As of December31, 2019, Rattler LLC had $424 million in outstanding borrowings, and $176 million available for borrowing, under its revolving credit facility.', 'As of December31, 2019, Viper LLC had $97 million in outstanding borrowings, and $678 million available for borrowing, under its revolving credit facility.', '99 billion available for borrowing under our revolving credit facility As of December31, 2019, Viper LLC had $97 million in outstanding borrowings, and $678 million available for borrowing, under its revolving credit facility.']"
12,49,12_decline_reserves_reserves depleted_depleted,"['decline', 'reserves', 'reserves depleted', 'depleted', 'replace', 'proved', 'proved reserves', 'decline reserves', 'successful', 'declining', 'containing', 'reservoir characteristics']","['Unless we conduct successful ongoing exploration, development and exploitation activities and/or continually acquire properties containing proved reserves, our proved reserves will continue to decline as those reserves are produced.', 'Except to the extent that we acquire additional properties containing proved reserves, conduct successful exploration and development activities or, through engineering studies, identify additional behind-pipe zones or secondary recovery reserves, our proved reserves will decline as reserves are produced.', 'Our proved reserves will generally decline as reserves are depleted, except to the extent that we conduct successful exploration or development activities or acquire properties containing proved reserves, or both.']"
13,48,13_hurricanes_weather_severe_tropical,"['hurricanes', 'weather', 'severe', 'tropical', 'storms', 'tropical storms', 'hurricane', 'weather conditions', 'coastal', 'severe weather', 'extreme', 'storms hurricanes']","['16Table of ContentsThe location of many of Murphys key assets causes the Company to be vulnerable to severe weather, including hurricanes and tropical storms.', 'Our operations may be materially adversely affected by tropical storms and hurricanes.', 'Tropical storms, hurricanes and the threat of tropical storms and hurricanes often result in the shutdown of operations, particularly in the US. Gulf of Mexico, as well as operations within the path and the projected path of the tropical storms or hurricanes.']"
14,47,14_countries_political_unrest_political economic,"['countries', 'political', 'unrest', 'political economic', 'economic', 'instability', 'terrorism', 'civil unrest', 'civil', 'war', 'acts', 'currency']","['In addition, Occidental has and may continue to experience adverse consequences, such as risk of loss or production limitations, because certain of its international operations are located in countries affected by political instability, nationalizations, corruption, armed conflict, terrorism, insurgency, civil unrest, security problems, labor unrest, OPEC production restrictions, equipment import restrictions and sanctions.', 'Exploration and production operations are subject to legal, social, political and economic uncertainties, including terrorism, military repression, social unrest and activism, blockades, strikes by local or national labor groups, interference with private contract rights, extreme fluctuations in currency exchange rates, high rates of inflation, exchange controls, changes in tax rates, changes in laws or policies affecting environmental issues (including land use and water use), workplace safety, foreign investment, foreign trade, investment or taxation, as well as restrictions imposed on the oil and natural gas industry, such as restrictions on production, price 19controls and export controls.', 'In addition to the risks addressed elsewhere in this section, our operations in countries other than the United States are subject to various risks, including: volatility in political, social and economic conditions; exposure to expropriation of our assets or other governmental actions; social unrest, acts of terrorism, war or other armed conflict; confiscatory taxation or other adverse tax policies; deprivation of contract rights; trade and economic sanctions or other restrictions imposed by the European Union, the United States or other countries; exposure under the United States Foreign Corrupt Practices Act (FCPA), the U. K. Bribery Act or similar anti-bribery and anti-corruption legislation; theft of proprietary technology and other intellectual property; restrictions on the repatriation of income or capital; currency exchange controls; inflation; and currency exchange rate fluctuations and devaluations.']"
15,47,15_indebtedness_level indebtedness_debt_high level,"['indebtedness', 'level indebtedness', 'debt', 'high level', 'level', 'adverse economic', 'flexibility', 'vulnerability', 'high', 'make', 'portion cash', 'economic industry']","['Our level of indebtedness could affect our operations in several ways, including the following: a significant portion of our cash flows could be used to service our indebtedness; a high level of debt would increase our vulnerability to general adverse economic and industry conditions; the covenants contained in the agreements governing our outstanding indebtedness limit our ability to borrow additional funds, dispose of assets, pay dividends and make certain investments; our debt covenants may also affect our flexibility in planning for, and reacting to, changes in the economy and in our industry; 32Table of Contentsa high level of debt may place us at a competitive disadvantage compared to our competitors that are less leveraged and therefore, may be able to take advantage of opportunities that our indebtedness would prevent us from pursuing; a high level of debt may make it more likely that a reduction in our borrowing base following a periodic redetermination could require us to repay a portion of our then-outstanding bank borrowings; anda high level of debt may impair our ability to obtain additional financing in the future for working capital, capital expenditures, acquisitions, general corporate or other purposes.', 'Our level of indebtedness could have important consequences to you and affect our operations in several ways, including the following: our high level of indebtedness could make it more difficult for us to satisfy our obligations with respect to our debt instruments, including any repurchase obligations that may arise thereunder; a significant portion of our cash flows could be used to service our indebtedness, which could reduce the funds available to us for operations and other purposes; our high level of debt could increase our vulnerability to general adverse economic and industry conditions; the covenants contained in the agreements governing certain of our outstanding indebtedness will limit our ability to borrow additional funds, dispose of assets, pay dividends and make certain investments; our high level of debt may place us at a competitive disadvantage compared to our competitors that are less leveraged and, therefore, may be able to take advantage of opportunities that our indebtedness would prevent us from pursuing; our debt covenants may also limit managements discretion in operating our business and our flexibility in planning for, and reacting to, changes in the economy and in our industry; our high level of debt could limit our ability to access the capital markets to raise capital on favorable terms; our high level of debt may impair our ability to obtain additional financing in the future for working capital, capital expenditures, acquisitions, general corporate or other purposes; andwe may be vulnerable to interest rate increases, as our borrowings under our revolving credit facility are at variable interest rates.', 'Our level of indebtedness could affect our operations in several ways, including the following: a significant portion or all of our cash flows, when generated, could be used to service our indebtedness; a high level of indebtedness could increase our vulnerability to general adverse economic and industry conditions; the covenants contained in the agreements governing our outstanding indebtedness will limit our ability to borrow additional funds, dispose of assets, pay dividends and make certain investments; a high level of indebtedness may place us at a competitive disadvantage compared to our competitors that are less leveraged and therefore, may be able to take advantage of opportunities that our indebtedness could prevent us from pursuing; our debt covenants may also affect our flexibility in planning for, and reacting to, changes in the economy and in our industry; additional hedging instruments may be required as a result of our indebtedness; a high level of indebtedness may make it more likely that a reduction in our borrowing base following a periodic redetermination could require us to repay a portion of our thenoutstanding bank borrowings; anda high level of indebtedness may impair our ability to obtain additional financing in the future for working capital, capital expenditures, acquisitions, general corporate or other purposes.']"
16,45,16_owned_owned operated_operated_parties,"['owned', 'owned operated', 'operated', 'parties', 'facilities owned', 'depends', 'lng', 'capacity gathering', 'availability proximity', 'gathering', 'processing', 'production depends']","['The marketability of our oil and natural gas production depends in part upon the availability, proximity and capacity of transportation facilities owned by third parties.', 'Our ability to market our production depends, in substantial part, on the availability and capacity of gathering systems, pipelines and processing facilities owned and operated by midstream operators.', 'The marketability of our oil, gas, and NGL production depends in part on the availability, proximity, and capacity of gathering systems, processing facilities, pipelines, and other transportation systems, which are generally owned or operated by third-parties.']"
17,45,17_ratings_rating_credit ratings_downgrade,"['ratings', 'rating', 'credit ratings', 'downgrade', 'credit', 'credit rating', 'debt', 'downgrade credit', 'moody', 'outlook', 'ability access', 'liquidity']","['A downgrade in our credit rating could negatively impact our cost of and ability to access capital.', 'Any downgrade in our credit rating or announcementthat our credit rating is under review for possibledowngrade could increase the cost associated with any additionalindebtedness we incur.', 'Downgrades in our credit ratings by various credit rating agencies could impact our access to capital and materially adversely affect our business and financial condition.']"
18,44,18_shortages_equipment_rigs_equipment supplies,"['shortages', 'equipment', 'rigs', 'equipment supplies', 'supplies personnel', 'drilling rigs', 'supplies', 'delays', 'high cost', 'high', 'oilfield services', 'drilling']","['The unavailability or high cost of additional oilfield services, including personnel, drilling rigs, equipment and supplies, as well as fees for the cancellation of such services, could adversely affect our ability to execute our exploration and development plans within our budget and on a timely basis.', 'The unavailability or high cost of additional drilling rigs, equipment, supplies, personnel and oilfield services or the unavailability of sufficient transportation for our production could adversely affect our ability to execute our exploration and development plans within our budget and on a timely basis.', '""The unavailability or high cost of additional drilling rigs, completion services, equipment, supplies, personnel, and oilfield services could adversely affect our ability to execute our exploration and development plans within our budget and on a timely basis.']"
19,44,19_shut_unavailable_transportation_required shut,"['shut', 'unavailable', 'transportation', 'required shut', 'access', 'markets delay', 'hinder access', 'transportation arrangements', 'arrangements', 'hinder', 'unavailability', 'processing']","['If, in the future, we are unable, for any sustained period, to implement acceptable delivery or transportation arrangements or encounter production related difficulties, we may be required to shut in or curtail production.', 'Market conditions or the unavailability of satisfactory crude oil and natural gas transportation arrangements may hinder our access to crude oil and natural gas markets or delay our production.', 'The unavailability of satisfactory oil, natural gas and NGL gathering, processing and transportation arrangements may hinder our access to oil, natural gas and NGL markets or delay production from our wells.']"
20,39,20_digital_dependent digital_increasingly dependent_data,"['digital', 'dependent digital', 'increasingly dependent', 'data', 'operating data', 'record', 'dependent', 'record financial', 'process record', 'communicate', 'increasingly', 'financial operating']","['We depend on these technologies to estimate quantities of oil and natural gas reserves, process and record financial and operating data, analyze seismic and drilling information, communicate with our employees and third-party partners, and conduct many of our activities.', 'We depend on digital technology, including information systems and related infrastructure as well as cloud applications and services, to process and record financial and operating data and to communicate with our employees and business partners.', 'We depend on digital technology, including information systems and related infrastructure as well as cloud application and services, to process and record financial and operating data, communicate with our employees and business partners, analyze seismic and drilling information, estimate quantities of oil and gas reserves and for many other activities related to our business.']"
21,39,21_carrying_write_impairment_carrying value,"['carrying', 'write', 'impairment', 'carrying value', 'required write', 'write downs', 'downs', 'gas properties', 'carrying values', 'values', 'non cash', 'accounting rules']","['Based on specific market factors and circumstances at the time of prospective impairment reviews, and the continuing evaluation of development plans, production data, economics and other factors, we may be required to write down the carrying value of our oil and gas properties, which may result in a decrease in the amount available under our Revolving Credit Facilities.', 'See We May Be Required to Write Down the Carrying Value of Our Proved Properties under Accounting Rules, and These Write-Downs Could Adversely Affect Our Financial Condition.', 'We May Be Required to Write Down the Carrying Value of Our Proved Properties under Accounting Rules, and These Write-Downs Could Adversely Affect Our Financial Condition.']"
22,37,22_hazards_spills_releases_risks,"['hazards', 'spills', 'releases', 'risks', 'toxic', 'fluids', 'explosions', 'leaks', 'ruptures', 'fires', 'blowouts', 'cratering']","['Our operations are subject to all of the hazards and operating risks associated with drilling for and production of oil and natural gas, including the risk of fire, explosions, blowouts, surface cratering, uncontrollable flows of natural gas, oil and formation water, pipe or pipeline failures, abnormally pressured formations, casing collapses and environmental hazards such as oil spills, gas leaks and ruptures or discharges of toxic gases.', 'Our crude oil and natural gas E&P activities are subject to all of the operating risks associated with drilling for and producing crude oil and natural gas, including the possibility of: environmental hazards, such as natural gas leaks, crude oil and produced water spills, pipeline and tank ruptures, encountering naturally occurring radioactive materials and unauthorized discharges of brine, well stimulation and completion fluids, toxic gas, such as hydrogen sulfide, or other pollutants into the environment; abnormally pressured formations; shortages of, or delays in, obtaining water for hydraulic fracturing activities; mechanical difficulties, such as stuck oilfield drilling and service tools and casing failure; personal injuries and death; andnatural disasters.', 'Our business is subject to all of the inherent hazards and risks normally incidental to drilling for, producing, transporting and storing natural gas, NGLs and oil, such as fires, explosions, slips, landslides, blowouts, and well cratering; pipe and other equipment and system failures; delays imposed by, or resulting from, compliance with regulatory requirements; formations with abnormal or unexpected pressures; shortages of, or delays in, obtaining equipment and qualified personnel or in obtaining water for hydraulic fracturing activities; adverse weather conditions, such as freeze offs of wells and pipelines due to cold weather; issues related to compliance with environmental regulations; environmental hazards, such as natural gas leaks, oil spills, pipeline and tank ruptures, encountering naturally occurring radioactive materials, and unauthorized releases of brine, well stimulation and completion fluids, toxic gases or other pollutants into the environment, especially those that reach surface water or groundwater; inadvertent third-party damage to our assets, and natural disasters.']"
23,36,23_recorded_ended_ended december_december 31,"['recorded', 'ended', 'ended december', 'december 31', 'years ended', '31', 'december', 'tax', '2018 2017', '2017', '2019 2018', '2018']","['For the years ended December 31, 2019, 2018 and 2017, we recorded lease impairments and expirations of $556.', 'During the years ended December 31, 2019, 2018 and 2017, we recorded non-cash impairment charges of $5.', 'During the years ended December 31, 2019, 2018 and 2017, we recorded non-cash impairment charges of $5.']"
24,35,24_control_limited_influence_influence control,"['control', 'limited', 'influence', 'influence control', 'operator', 'party', 'properties', 'operation', 'operated', 'continuing', 'operation future', 'control operation']","['We have limited influence and control over the operation or future development of such properties, including compliance with environmental, health and safety regulations or the amount and timing of required future capital expenditures.', 'As a result, we have limited ability to influence or control the operation or future development of such properties, including the nature and timing of drilling and operational activities, the operators skill and expertise, compliance with environmental, safety and other regulations, the approval of other participants in such properties, the selection and application of suitable technology, or the amount of expenditures that we will be required to fund with respect to such properties.', 'We have limited ability to influence or control the operation or future development of these non-operated properties, including compliance with environmental, safety and other regulations, or the amount of capital expenditures that we are required to fund with respect to them.']"
25,34,25_laws regulations_compliance costs_new laws_compliance,"['laws regulations', 'compliance costs', 'new laws', 'compliance', 'laws', 'revised', 'existing laws', 'regulations', 'reinterpreted', 'revised reinterpreted', 'reinterpreted new', 'costs']","['Our operating and 15 Table of Contents Index to Financial Statements other compliance costs could increase further if existing laws and regulations are revised or reinterpreted, or if new laws and regulations become applicable to our operations.', 'In addition, our costs of compliance may increase if existing laws and regulations are revised or reinterpreted, or if new laws and regulations become applicable to our operations.', 'In addition, our costs of compliance may increase if existing laws and regulations are revised or reinterpreted, or if new laws and regulations become applicable to our operations.']"
26,34,26_paris_paris agreement_agreement_nations,"['paris', 'paris agreement', 'agreement', 'nations', 'united', 'international', 'united nations', 'goals', 'framework', 'climate', 'agreement paris', 'convention climate']","['The United States was actively involved in the negotiations at the 21st Conference of the Parties of the United Nations Framework Convention on Climate Change in Paris (the UNFCCC), which led to the creation of the Paris Agreement.', 'For example, on an international level, in December 2015, almost 200 nations, including Colombia, agreed to an international climate change agreement in Paris, France (the Paris Agreement), that calls for countries to set their own GHG emission targets and be transparent about the measures each country will use to achieve its GHG emission targets.', 'An international climate agreement (the Paris Agreement) was agreed to at the 2015 United Nations Framework Convention on Climate Change in Paris, France.']"
27,33,27_liable_liability_contamination_strict,"['liable', 'liability', 'contamination', 'strict', 'environmental laws', 'laws', 'substances', 'applicable laws', 'strict liability', 'hazardous substances', 'certain environmental', 'hazardous']","['Under certain environmental laws that impose strict as well as joint and several liability, we may be required to remediate contaminated properties currently or formerly operated by us or facilities of third parties that received waste generated by our operations regardless of whether such contamination resulted from the conduct of others or from consequences of our own actions that were in compliance with all applicable laws at the time those actions were taken.', 'Under certain environmental laws that impose strict as well as joint and several liability, we may be required to remediate contaminated properties currently or formerly operated by us or facilities of third parties that received waste generated by our operations regardless of whether such contamination resulted from the conduct of others or from consequences of our own actions that were in compliance with all applicable laws at the time those actions were taken.', 'Under certain environmental laws and regulations, we could be subject to joint and several, strict liability for the removal or remediation of previously released materials or property contamination regardless of whether we were responsible for the release or contamination or if the operations were in compliance with all applicable laws at the time those actions were taken.']"
28,33,28_capital expenditures_substantial capital_expenditures_capital,"['capital expenditures', 'substantial capital', 'expenditures', 'capital', 'require substantial', 'make substantial', 'substantial', 'significant capital', 'million', 'approximately', 'expect', 'development']","['We make and expect to make substantial capital expenditures in connection with our development and production projects.', 'Our development of and participation in an increasingly larger number of locations has required and will continue to require substantial capital expenditures.', 'Our development of and participation in an increasingly larger number of drilling locations has required and will continue to require substantial capital expenditures, including planned capital expenditures for 2020 of approximately $685 million to $715 million.']"
