Topic,Count,Name,Representation,Representative_Docs
9,39,9_emissions_climate_climate change_greenhouse,"['emissions', 'climate', 'climate change', 'greenhouse', 'gases', 'ghg', 'demand', 'ghg emissions', 'demand oil', 'legislation', 'increased operating', 'greenhouse gases']","['Climate change laws and regulations restricting emissions of greenhouse gases could result in increased operating costs and reduced demand for the natural gas, NGLs and oil that we produce while potential physical effects of climate change could disrupt our production and cause us to incur significant costs in preparing for or responding to those effects.', 'The adoption of climate change legislation or regulations restricting emission of greenhouse gases could result in increased operating costs and reduced demand for the oil and gas we produce.', 'The adoption of climate change legislation or regulations restricting emissions of ""greenhouse gases"" could result in increased operating costs and reduced demand for the oil, NGL and natural gas we produce, while potential physical effects of climate change could disrupt our operations and cause us to incur significant costs in preparing for or responding to those effects.']"
10,38,10_hedging_hedging arrangements_hedge_arrangements,"['hedging', 'hedging arrangements', 'hedge', 'arrangements', 'commodity price', 'exposure', 'commodity', 'financial losses', 'price', 'increases prices', 'result financial', 'gas ngl']","['In addition, these hedging arrangements may limit the benefit we would otherwise receive from increases in prices for crude oil, natural gas and NGL.', 'Please read Our use of hedging arrangements does not eliminate our exposure to commodity price risks and could result in financial losses or volatility in our income.', 'Our use of hedging arrangements does not eliminate our exposure to commodity price risks and could result in financial losses or volatility in our income.']"
11,38,11_meet obligations_obligations_inability_financial results,"['meet obligations', 'obligations', 'inability', 'financial results', 'materially harm', 'customers', 'affect financial', 'meet', 'harm business', 'insolvency', 'liquidation', 'obtain services']","['The inability or failure of our significant customers to meet their obligations to us or their insolvency or liquidation may adversely affect our financial results.', 'The inability or failure of our significant customers to meet their obligations to us or their insolvency or liquidation may adversely affect our financial results.', 'The inability or failure of our significant customers or counterparties to meet their obligations to us or their insolvency or liquidation may adversely affect our financial results.']"
12,37,12_control_limited_influence_properties operate,"['control', 'limited', 'influence', 'properties operate', 'activities properties', 'properties', 'operator', 'influence control', 'operated', 'operation future', 'control timing', 'control operation']","['We have limited influence and control over the operation or future development of such properties, including compliance with environmental, health and safety regulations or the amount and timing of required future capital expenditures.', 'As a result, we have limited ability to influence or control the operation or future development of such properties, including the nature and timing of drilling and operational activities, the operators skill and expertise, compliance with environmental, safety and other regulations, the approval of other participants in such properties, the selection and application of suitable technology, or the amount of expenditures that we will be required to fund with respect to such properties.', 'We have limited ability to influence or control the operation or future development of these non-operated properties and on properties we operate in joint ventures in which we may share control with third parties, including compliance with environmental, safety and other regulations or the amount of capital expenditures that we are required to fund with respect to them.']"
13,37,13_local laws_laws regulations_federal state_state local,"['local laws', 'laws regulations', 'federal state', 'state local', 'regulations', 'laws', 'local', 'operations subject', 'safety', 'environmental', 'health safety', 'state']","['Our operations are subject to extensive federal, state and local laws and regulations, including drilling and environmental and safety laws and regulations, which increase the cost of planning, designing, drilling, installing and operating oil and natural gas facilities.', 'Our operations are subject to stringent federal, tribal, regional, state and local laws and regulations governing occupational health and safety aspects, the discharge of materials into the environment or otherwise relating to environmental protection.', 'We Are Subject to Extensive Governmental Regulation, Which Can Change and Could Adversely Impact Our Business Our operations are subject to extensive federal, state, tribal and local laws, rules and regulations, including with respect to environmental matters, worker health and safety, wildlife conservation, the gathering and transportation of oil, gas and NGLs, conservation policies, reporting obligations, royalty payments, unclaimed property and the imposition of taxes.']"
14,37,14_swaps_cftc_dodd frank_dodd,"['swaps', 'cftc', 'dodd frank', 'dodd', 'frank', 'frank act', 'act', 'clearing', 'swap', 'futures', 'mandatory clearing', 'margin']","['The Dodd-Frank Act and CFTC rules have also designated certain types of swaps (thus far, only certain interest rate swaps and credit default swaps) for mandatory clearing and exchange trading, and may designate other types of swaps for mandatory clearing and exchange trading in the future.', 'Although some of the rules necessary to implement the Dodd-Frank Act have yet to be adopted, the CFTC, the SEC and Prudential Regulators have issued numerous rules, including the End-User Exception, which exempts certain ""end-users"" from having to comply with mandatory clearing, a Margin Rule mandating margining for certain uncleared swaps, and a Position Limits Rule imposing federal position limits on certain futures contracts relating to energy products, including natural gas.', 'The Dodd-Frank Act requires the Commodity Futures Trading Commission (CFTC) and the SEC to promulgate rules and regulations implementing the Dodd-Frank Act.']"
15,37,15_equipment_equipment supplies_supplies_high cost,"['equipment', 'equipment supplies', 'supplies', 'high cost', 'rigs', 'shortages', 'unavailability', 'high', 'drilling rigs', 'oilfield services', 'budget', 'delays']","['The unavailability or high cost of additional oilfield services, including personnel, drilling rigs, equipment and supplies, as well as fees for the cancellation of such services, could adversely affect our ability to execute our exploration and development plans within our budget and on a timely basis.', 'The unavailability or high cost of additional drilling rigs, equipment, supplies, personnel and oilfield services or the unavailability of sufficient transportation for our production could adversely affect our ability to execute our exploration and development plans within our budget and on a timely basis.', 'The unavailability or high cost of additional drilling rigs, completion services, equipment, supplies, personnel, and oilfield services could adversely affect our ability to execute our exploration and development plans within our budget and on a timely basis.']"
16,36,16_indebtedness_level indebtedness_debt_high level,"['indebtedness', 'level indebtedness', 'debt', 'high level', 'level', 'additional financing', 'flexibility', 'obtain additional', 'vulnerability', 'economic industry', 'general corporate', 'working capital']","['A high level of indebtedness could affect our operations in several ways, including the following: requiring a significant portion of our cash flows to be used for servicing our indebtedness; increasing our vulnerability to general adverse economic and industry conditions; placing us at a competitive disadvantage compared to our competitors that are less leveraged and, therefore, may be able to take advantage of opportunities that our level of indebtedness may prevent us from pursuing; restricting our ability to obtain additional financing in the future for working capital, capital expenditures, acquisitions and general corporate or other purposes; andincreasing the risk that we may default on our debt obligations.', 'An increase in our level of indebtedness could affect our operations in several ways, including the following: a significant portion of our cash flows could be used to service our indebtedness; a high level of debt would increase our vulnerability to general adverse economic and industry conditions; the covenants contained in the agreements governing our outstanding indebtedness limit our ability to borrow additional funds, dispose of assets, pay dividends and make certain investments; our debt covenants may also affect our flexibility in planning for, and reacting to, changes in the economy and in our industry; a high level of debt may place us at a competitive disadvantage compared to our competitors that are less leveraged and therefore, may be able to take advantage of opportunities that our indebtedness would prevent us from pursuing; a high level of debt may make it more likely that a reduction in our borrowing base under the Oasis Credit Facility following a periodic redetermination could require us to repay a portion of our then-outstanding bank borrowings; anda high level of debt may impair our ability to obtain additional financing in the future for working capital, capital expenditures, acquisitions, general corporate or other purposes.', 'Our level of indebtedness could affect our operations in several ways, including the following: a significant portion or all of our cash flows, when generated, could be used to service our indebtedness; a high level of indebtedness could increase our vulnerability to general adverse economic and industry conditions; the covenants contained in the agreements governing our outstanding indebtedness will limit our ability to borrow additional funds, dispose of assets, pay dividends and make certain investments; a high level of indebtedness may place us at a competitive disadvantage compared to our competitors that are less leveraged and therefore, may be able to take advantage of opportunities that our indebtedness could prevent us from pursuing; our debt covenants may also affect our flexibility in planning for, and reacting to, changes in the economy and in our industry; additional hedging instruments may be required as a result of our indebtedness; a high level of indebtedness may make it more likely that a reduction in our borrowing base following a periodic redetermination could require us to repay a portion of our thenoutstanding bank borrowings; anda high level of indebtedness may impair our ability to obtain additional financing in the future for working capital, capital expenditures, acquisitions, general corporate or other purposes.']"
17,36,17_competition_intense_gas industry_industry competition,"['competition', 'intense', 'gas industry', 'industry competition', 'highly competitive', 'competition oil', 'investment oil', 'industry intense', 'industry', 'competitors', 'competitive', 'properties market']","['Competition in the oil and gas industry is intense, making it more difficult for us to acquire properties, market crude oil and natural gas and secure trained personnel.', 'Competition in the oil and natural gas industry is intense, making it difficult for us to acquire properties, market oil, NGL and natural gas and secure trained personnel.', 'Competition in the oil and natural gas industry is intense, making it more difficult for us to acquire properties, market oil and natural gas, provide midstream services and secure trained personnel, and our competitors may use superior technology and data resources that we may be unable to afford.']"
18,35,18_assurance_specifications_reflect current_current plans,"['assurance', 'specifications', 'reflect current', 'current plans', 'achieved', 'able', 'assurance able', 'provide assurance', 'assure', 'property rights', 'rights', 'reflect']","['We cannot provide assurance that our products, including products supplied through joint ventures, will be able to satisfy the specifications or that we will be able to perform the full-scale testing necessary to prove that the product specifications are satisfied in future contract bids or under existing contracts, or that the costs of modifications to our products to satisfy the specifications and testing will not adversely affect our results of operations.', 'There can be no assurance that the steps we take to obtain, maintain, protect and enforce our intellectual property rights will be completely adequate.', 'There can be no assurance that the steps we take to obtain, maintain, protect and enforce our intellectual property rights will be adequate.']"
19,34,19_carrying_write_impairment_carrying value,"['carrying', 'write', 'impairment', 'carrying value', 'downs', 'write downs', 'gas properties', 'write carrying', 'required write', 'impairments', 'carrying values', 'values']","['We may be required to write down the carrying value of our proved properties under accounting rules, and these write-downs could adversely affect our financial condition.', 'Based on specific market factors and circumstances at the time of prospective impairment reviews, and the continuing evaluation of appraisal and development plans, production data, oil and natural gas prices, economics and other factors, we may be required to write down the carrying value of our oil and natural gas assets.', 'We review the carrying values of our proved oil and gas properties for indications of impairment when events or circumstances indicate that the remaining carrying value may not be recoverable.']"
20,34,20_regulatory initiatives_hydraulic fracturing_hydraulic_fracturing,"['regulatory initiatives', 'hydraulic fracturing', 'hydraulic', 'fracturing', 'delays', 'restrictions delays', 'initiatives', 'restrictions', 'relating hydraulic', 'initiatives relating', 'increased', 'operating restrictions']","['Federal and state legislation and regulatory initiatives relating to hydraulic fracturing could result in increased costs and additional operating restrictions or delays.', 'Federal and state legislative and regulatory initiatives relating to hydraulic fracturing could result in increased costs and additional operating restrictions or delays.', 'Federal, state and local legislative and regulatory initiatives relating to hydraulic fracturing as well as governmental reviews of such activities could result in increased costs and additional operating restrictions or delays in the completion of crude oil and natural gas wells and adversely affect our production.']"
21,34,21_ghg_emissions_cap trade_ghg emissions,"['ghg', 'emissions', 'cap trade', 'ghg emissions', 'cap', 'trade', 'programs', 'regional', 'reducing ghg', 'ghgs', 'reducing', 'emission']","['Globally, multiple jurisdictions are considering adopting or are in the process of implementing laws or regulations to directly regulate GHG emissions through similar or other mechanisms, such as a carbon tax, a cap-and-trade program, or performance standards, or to indirectly advance reduction of GHG emissions through restrictive permitting, trade tariffs, minimum renewable usage requirements, increased GHG reporting and climate-related disclosure requirements, or tax advantages or other incentives to promote the use of alternative energy, fuel sources or lower-carbon technologies.', '36Table of ContentsAt the state level, several states including Pennsylvania have proceeded with a number of state and regional efforts aimed at tracking and/or reducing GHG emissions by means of cap-and-trade programs that typically require major sources of GHG emissions, such as electric power plants, to acquire and surrender emission allowances in return for emitting those GHGs.', 'In the absence of significant federal GHG legislation, a number of state and regional efforts have emerged, aimed at tracking and/or reducing GHG emissions through cap-and-trade programs, which typically require major sources of GHG emissions, such as electric power plants, to acquire and surrender emission allowances in return for emitting GHGs.']"
22,33,22_personnel_technical_technical personnel_management technical,"['personnel', 'technical', 'technical personnel', 'management technical', 'retain', 'attract', 'key', 'key personnel', 'personnel adversely', 'knowledge', 'unable continue', 'management']","['The loss of senior management or technical personnel could adversely affect our operations.', 'If we cannot retain our technical personnel or attract additional experienced technical personnel, our ability to compete could be harmed.', 'The loss of senior management or technical personnel and the failure to attract, train and retain qualified personnel could adversely affect our operations.']"
23,32,23_fracturing_hydraulic fracturing_hydraulic_disclosure,"['fracturing', 'hydraulic fracturing', 'hydraulic', 'disclosure', 'ban', 'fracturing activities', 'proposed', 'adopted', 'regulate hydraulic', 'fracturing including', 'states', 'restrictions hydraulic']","['Certain states, including Texas, have adopted, and other states are considering adopting, regulations that could impose more stringent permitting, public disclosure, waste disposal, and well construction requirements on hydraulic fracturing operations or otherwise seek to ban fracturing activities altogether.', 'However, federal, state and local jurisdictions have adopted, or are considering adopting, regulations that could further restrict or prohibit hydraulic fracturing in certain circumstances, impose more stringent operating standards and/or require the disclosure of the composition of hydraulic fracturing fluids.', 'Moreover, several states in which we operate have adopted, or stated intentions to adopt, laws or regulations that mandate further restrictions on hydraulic fracturing, such as requiring disclosure of chemicals used in hydraulic fracturing, imposing more stringent permitting, disclosure and well-construction requirements on hydraulic fracturing operations and establishing standards for the capture of air emissions released during hydraulic fracturing.']"
24,31,24_risk_risk factors_1a risk_item,"['risk', 'risk factors', '1a risk', 'item', 'item 1a', '1a', 'carefully', 'summary', '7a', 'factors', 'included', 'following']","['>Item 1A. Risk Factors.', '>Item 1A. Risk Factors.', '>Item 1A.Risk Factors.']"
25,31,25_nols_section 382_382_taxable income,"['nols', 'section 382', '382', 'taxable income', 'taxable', 'section', 'ownership change', 'income', 'net operating', 'limitation', 'ownership', 'tax']","['If our federal net operating losses become subject to the limitation under Section 382 of the Code, we may be unable to fully utilize our federal net operating loss carryforwards to offset our taxable income, if any, in future years, which could have a negative impact on our financial position and results of operations.', 'If we were to experience an ""ownership change, "" as determined under Section 382 of the Internal Revenue Code, to which Oklahoma conforms, our ability to offset taxable income arising after the ownership change with NOLs arising prior to the ownership change would be limited, possibly substantially.', 'Section 382 of the Internal 41Table of ContentsRevenue Code of 1986, as amended (""Section 382""), generally imposes an annual limitation on the amount of NOLs and other tax attributes that may be used to offset taxable income when a corporation has undergone an ""ownership change"" (as determined under Section 382).']"
26,31,26_digital_dependent digital_data_operating data,"['digital', 'dependent digital', 'data', 'operating data', 'dependent', 'record', 'increasingly dependent', 'technology', 'systems', 'process record', 'record financial', 'financial operating']","['We depend on digital technology, including information systems and related infrastructure as well as cloud application and services, to store, transmit, process and record sensitive information (including trade secrets, employee information and financial and operating data), communicate with our employees and business partners, analyze seismic and drilling information, estimate quantities of oil and gas reserves and for many other activities related to our business.', 'We depend on digital technology, including information systems and related infrastructure as well as cloud applications and services, to process and record financial and operating data and to communicate with our employees and business partners.', 'We depend on digital technology, including information systems and related infrastructure as well as cloud application and services, to process and record financial and operating data, communicate with our employees and business partners, analyze seismic and drilling information, estimate quantities of oil and gas reserves and for many other activities related to our business.']"
27,31,27_doing business_doing_capital_opportunities,"['doing business', 'doing', 'capital', 'opportunities', 'pursue acquisition', 'cause cost', 'cost doing', 'business increase', 'ability pursue', 'acquisition opportunities', 'related financial', 'place competitive']","['These changes could cause our cost of doing business to increase, limit our ability to pursue acquisition opportunities, reduce cash flows used for operating and capital expenditures and place us at a competitive disadvantage.', 'Changes in any one or more of these factors could cause our cost of doing business to increase, limit our access to capital, limit our ability to pursue acquisition opportunities, reduce our cash flows available for drilling and place us at a competitive disadvantage.', 'Changes in any one or more of these factors could cause our cost of doing business to increase, limit our access to capital, limit our ability to pursue acquisition opportunities, reduce our cash flows available for drilling and place us at a competitive disadvantage.']"
28,30,28_prices_extended_commodity prices_commodity,"['prices', 'extended', 'commodity prices', 'commodity', 'low prices', 'extended decline', 'prices crude', 'substantial extended', 'low', 'ngl natural', 'oil ngl', 'decline']","['A substantial or extended decline in oil and natural gas prices may materially and adversely affect our future business, financial condition, results of operations, liquidity or ability to finance planned capital expenditures.', 'Any substantial or extended decline in future commodity prices would have a material adverse effect on our future business, financial condition, results of operations, cash flows, liquidity or ability to finance planned capital expenditures and commitments.', 'Prolonged or substantial decline, or sustained market uncertainty, in these commodity prices may have the following effects on Occidentals business: Adversely affect Occidentals financial condition, results of operations, liquidity, ability to reduce debt, access to and cost of capital, and ability to finance planned capital expenditures, pay dividends and repurchase shares; Reduce the amount of oil, NGL and natural gas that Occidental can produce economically; Cause Occidental to delay or postpone some of its capital projects; Reduce Occidentals revenues, operating income or cash flows; Reduce the amounts of Occidentals estimated proved oil, NGL and natural gas reserves; Reduce the carrying value of Occidentals oil and natural gas properties due to recognizing impairments of proved properties, unproved properties and exploration assets; Reduce the standardized measure of discounted future net cash flows relating to oil, NGL and natural gas reserves; and Adversely affect the ability of Occidentals partners to fund their working interest capital requirements.']"
29,29,29_epa_standards_air_nsps,"['epa', 'standards', 'air', 'nsps', 'methane', 'emission', 'proposed', 'emissions', 'november', 'performance standards', 'air pollutants', 'organic']","['These regulations include the New Source Performance Standards (NSPS), the National Emission Standards for Hazardous Air Pollutants programs, and ozone standards set under the National Ambient Air Quality Standards (NAAQS), among others.', 'In recent years, the EPA issued final rules to subject oil and natural gas operations to regulation under the New Source Performance Standards (NSPS) and National Emission Standards for Hazardous Air Pollutants programs under the CAA and to impose new and amended requirements under both programs.', 'In August 2012 and June 2016, the EPA published rules establishing new air emission control requirements for the oil and natural gas sector, including NSPS to address emissions of sulfur dioxide and volatile organic compounds and to regulate methane emissions for new and modified sources in the oil and gas industry, and NESHAP to address hazardous air pollutants frequently associated with gas production and processing activities.']"
30,29,30_benefits_realize_anticipated_anticipated benefits,"['benefits', 'realize', 'anticipated', 'anticipated benefits', 'realize benefits', 'acquisition', 'acquisitions', 'realize anticipated', 'savings', 'cost savings', 'acquired', 'expected']","['We may fail to realize all of the anticipated benefits of the Merger.', 'Even if a combination is successful, it may not be possible to realize the full benefits we may expect in estimated proved reserves, production volume, cost savings from operating synergies or other benefits anticipated from an acquisition or realize these benefits within the expected time frame.', 'Even if we successfully integrate the assets acquired, it may not be possible to realize the full benefits we may expect in estimated proved reserves, production volume, cost savings from operating synergies or other benefits anticipated from an acquisition or realize these benefits within the expected time frame.']"
