Name,Representation,Count,ESG_Categories
337_minerals_conflict minerals_conflict_democratic,"minerals,conflict minerals,conflict,democratic,mineral,republic,cautionary note,mined,requires public,reserve mineral,note united,minerals products",10,"Social,Governance"
340_european union_actions investigations_union_privacy,"european union,actions investigations,union,privacy,regarding privacy,legislation regulations,personal information,privacy laws,european,data protection,international laws,general data",10,"Social,Governance"
341_licenses_substitute technology_substitute_license,"licenses,substitute technology,substitute,license,party licenses,license technology,obtain,party technology,technology,reasonable terms,obtain licenses,failure obtain",10,Social
347_culture_promotes_diversity_contributor success,"culture,promotes,diversity,contributor success,contributor,date critical,success date,bias,inclusion,platform provide,fulfillment,purpose",10,Social
354_return capital_distributions_term capital_capital gain,"return capital,distributions,term capital,capital gain,gain,return,inclusion income,excess inclusion,tax basis,stockholders,inclusion,capital",9,Social
366_capital available_additional capital_capital support_capital,"capital available,additional capital,capital support,capital,available acceptable,require additional,acceptable terms,acceptable,support growth,capital expand,compete harm,operations invest",9,Social
373_fail increase_increase market_products consequences_weakening demand,"fail increase,increase market,products consequences,weakening demand,compatibility,customers able,market share,weakening,revenue financial,products interoperate,engagement,user engagement",9,Social
381_engagement_user retention_services favor_retention growth,"engagement,user retention,services favor,retention growth,favor products,engagement products,user,users,active user,growth engagement,favor,shift",8,Social
403_damages_including treble_partys_pay damages,"damages,including treble,partys,pay damages,redesign,treble damages,treble,pay,pay substantial,substantial damages,using,damages attorneys",8,Social
411_achieve productivity_significant time_productivity_training,"achieve productivity,significant time,productivity,training,new company,hires,new sales,require significant,addition new,achieve,time resources,employees new",7,"Social,Governance"
431_outbreak_public health_adverse public_developments material,"outbreak,public health,adverse public,developments material,contagious diseases,health developments,outbreak contagious,worsening,health,health problems,contagious,diseases",7,Social
438_collective_bargaining agreements_collective bargaining_bargaining,"collective,bargaining agreements,collective bargaining,bargaining,agreements,employees subject,employees covered,industry wide,nbcuniversals,actors,talent,comply local",7,Social
441_health organization_world health_declared_march 2020,"health organization,world health,declared,march 2020,march,organization,world,global pandemic,health,19 global,2020,covid",7,Social
446_groups invest_funds different_alongside_fees costs,"groups invest,funds different,alongside,fees costs,minority,capital available,portfolio company,invest,different,certain funds,fund,groups",6,Social
