Name,Representation,Count,ESG_Categories
340_european union_actions investigations_union_privacy,"european union,actions investigations,union,privacy,regarding privacy,legislation regulations,personal information,privacy laws,european,data protection,international laws,general data",10,"Social,Governance"
345_divert_consuming_time consuming_attention,"divert,consuming,time consuming,attention,efforts technical,property costly,merit,attention management,consuming divert,divert efforts,litigation,technical management",10,Governance
349_millions_events day_trillion events_trillion,"millions,events day,trillion events,trillion,monitoring,containers,massive,scalable,servers,real time,day,multi",9,Governance
361_encryption_authorizations including_authorizations_exported,"encryption,authorizations including,authorizations,exported,required export,encryption technology,classification,export,exception,including license,license license,appropriate government",9,Governance
410_certain encryption_encryption technology_regulate import_regulate,"certain encryption,encryption technology,regulate import,regulate,ability distribute,import,laws limit,requirements enacted,implement products,encryption,various countries,import export",8,Governance
411_achieve productivity_significant time_productivity_training,"achieve productivity,significant time,productivity,training,new company,hires,new sales,require significant,addition new,achieve,time resources,employees new",7,"Social,Governance"
413_successfully competitors_assurance_assurance company_compete successfully,"successfully competitors,assurance,assurance company,compete successfully,business combination,able compete,compete,assurance execute,continue able,manner sufficient,execute initiatives,initiatives manner",7,Governance
453_comply published_published policies_documentation_compliance,"comply published,published policies,documentation,compliance,published,efforts achieve,documentation times,consequences non,assist compliance,certifications documentation,compliance internal,compliance risk",6,Governance
457_defense contract_audit_routinely_medicare,"defense contract,audit,routinely,medicare,study,defense,contract management,regulations terms,health plan,including compliance,payments regulatory,management agency",6,Governance
458_certifications_sell government_government sector_certification,"certifications,sell government,government sector,certification,attained revised,attained,doing restrict,sector attained,change doing,government certification,requirements change,certification requirements",6,Governance
