Name,Representation,Count,ESG_Categories
365_transaction processing_levels participation_transactions involve_servicing fees,"transaction processing,levels participation,transactions involve,servicing fees,activity securities,participation activity,transactions,daily,securities markets,participation,driven,number special",9,Social
367_pressure_pricing_pricing pressure_downward pressure,"pressure,pricing,pricing pressure,downward pressure,intense,pricing pressures,downward,pressures,healthcare,health maintenance,constraints changes,changes current",9,"Environmental,Social"
368_employee resource_resource groups_groups_resource,"employee resource,resource groups,groups,resource,organizational,employee,people,empowered,feels,sense,diverse,diversity",9,Social
369_stakeholders_esg_social governance_environmental social,"stakeholders,esg,social governance,environmental social,esg matters,increasingly,diversity,governance,certain institutional,institutional investors,equity inclusion,increasingly focused",9,"Social,Governance"
370_warehouse_loans_balance sheet_sheet,"warehouse,loans,balance sheet,sheet,spes,special purpose,warehouse trust,credit facilities,balance,loans balance,certain loans,purpose entities",9,Social
388_return capital_term capital_capital gain_excess inclusion,"return capital,term capital,capital gain,excess inclusion,inclusion income,capital gains,increase capital,distributions,capital,inclusion,gain,return",8,Social
399_english_languages_additional challenges_including associated,"english,languages,additional challenges,including associated,support organization,support,face additional,challenges,delivering,challenges including,training,documentation",8,"Social,Governance"
404_collective_bargaining agreements_collective bargaining_bargaining,"collective,bargaining agreements,collective bargaining,bargaining,employees subject,join,employees covered,councils,agreements,union,actors,labor",8,Social
422_capacity_increasing product_shortages delays_product demand,"capacity,increasing product,shortages delays,product demand,demand,manufacturing capacity,adequate lead,foundry partners,experienced difficulties,obtaining equipment,necessary levels,supply necessary",8,Social
429_contractual obligations_subject stringent_parties related_stringent changing,"contractual obligations,subject stringent,parties related,stringent changing,healthcare,subject terms,privacy,contractual,related privacy,privacy security,data privacy,obligations",7,"Social,Governance"
449_esg_goals_action plan_green,"esg,goals,action plan,green,sustainability,publicly announced,insurance companies,climate,diversity,environmental social,announced,frameworks principles",7,"Environmental,Social"
470_recalls_safety_applicable regulatory_product recalls,"recalls,safety,applicable regulatory,product recalls,damages result,errors addition,future development,environmental damages,market sectors,regulators industry,shows,services defective",6,Social
479_key person_life insurance_person life_person,"key person,life insurance,person life,person,senior professionals,insurance policies,insurance,carry,life,professionals,risk policies,disability",6,Social
