Topic,Count,Representation,ESG_Categories
401,19,"['cuts jobs', 'tax cuts', 'cuts', 'jobs', 'jobs act', 'act tax', '2017 tax', 'act', 'tax act', '2017']","['Environmental', 'Social']"
416,18,"['hedging', 'use hedging', 'hedging activities', 'instruments hedging', 'strategies protect', 'hedging arrangements', 'hedging programs', 'hedging derivatives', 'derivative instruments', 'offset']",['Environmental']
505,16,"['alternative technology', 'substitute', 'substitute technology', 'develop alternative', 'lower quality', 'technology lower', 'use alternative', 'alternative', 'quality performance', 'develop substitute']",['Environmental']
509,16,"['transition', 'transition period', 'period december', 'transition date', 'transitional period', 'december 31', 'date transition', 'period transition', 'provides transitional', 'transitional']",['Environmental']
530,15,"['commercially reasonable', 'commercially', 'reasonable', 'arrangements alternative', 'commercial quantities', 'alternative', 'able enter', 'reasonable prices', 'produce products', 'acceptable']",['Environmental']
584,14,"['research development', 'research', 'development research', 'engage research', 'activities develop', 'development activities', 'development efforts', 'development', 'associated research', 'abandoned research']","['Environmental', 'Social']"
622,13,"['energy', 'energy consumption', 'energy industry', 'fuel', 'oil natural', 'natural gas', 'consumption', 'oil', 'gas', 'contents prices']",['Environmental']
637,13,"['client data', 'degradation', 'services clients', 'client', 'disruption', 'arrangement ibm', 'alternative services', '22any slowdown', '22any', 'clients 22any']",['Environmental']
667,12,"['climate', 'climate change', 'effects climate', 'global climate', 'occurring', 'change result', 'natural disasters', 'concern climate', 'number natural', 'occurring cause']",['Environmental']
733,11,"['public health', 'health issues', 'issues public', 'health', 'health problems', 'public', 'issues', 'currently cause', 'developments include', 'spread public']","['Environmental', 'Social']"
740,11,"['goods goods', 'goods', 'toys certain', 'certain items', 'items goods', 'toys', 'waste toys', 'goods waste', 'waste', 'items']",['Environmental']
772,11,"['bonded', 'reclamation', 'reclamation obligations', 'bonded extent', 'cash perform', 'amounts fully', 'fully collateralized', 'obligations bonded', 'obligations occur', 'extent bonded']",['Environmental']
839,9,"['nuclear', 'nuclear energy', 'energy', 'energy sources', 'nuclear power', 'opposition', 'energy energy', 'affected technological', 'energy mining', 'energy increased']",['Environmental']
853,9,"['department', 'commerce', 'department commerce', 'commerce department', 'justice', 'defense department', 'department 2018', 'council federal', 'commerce justice', 'commerce commerce']","['Environmental', 'Social']"
854,9,"['data data', 'technology data', 'data', 'technology', '', '', '', '', '', '']","['Environmental', 'Social']"
866,9,"['product development', 'development product', 'development', 'tasks product', 'goals product', 'development tasks', 'development goals', 'tasks', 'goals', 'product']","['Environmental', 'Social']"
895,9,"['safety laws', 'health safety', 'safety', 'health', 'occupational', 'safety health', 'promulgated regulations', 'radioelectromagnetic', 'agencies promulgated', 'administration various']","['Environmental', 'Social']"
896,9,"['capital requirements', 'requirements capital', 'capital', 'adequacy including', 'requirements strategic', 'company licensing', 'examination substantially', 'factors managements', 'costs working', 'banks hold']","['Environmental', 'Social']"
994,8,"['development development', 'development developments', 'generation development', 'developments development', 'development generation', 'developing development', 'generation', 'development', 'developments', 'developing']","['Environmental', 'Social']"
