Topic,Count,Representation,ESG_Categories
367,21,"['accounting', 'accounting principles', 'changes accounting', 'accounting standards', 'principles', 'accepted accounting', 'accounting policies', 'change accounting', 'policies changes', 'generally accepted']",['Governance']
372,20,"['bribery act', 'bribery', 'act bribery', 'act 2010', 'act', 'uk bribery', '2010', 'business bribery', '2010 bribery', 'act uk']",['Governance']
373,20,"['reputation reputation', 'reputation', '', '', '', '', '', '', '', '']",['Governance']
376,20,"['market risks', 'financial risks', 'exposed variety', 'variety financial', 'associated businesses', 'businesses acquire', 'risks difficulties', 'risks', 'acquire invest', 'exposed']",['Governance']
385,20,"['control financial', 'financial reporting', 'internal control', 'accounting firm', 'independent registered', 'public accounting', 'registered public', 'reporting', 'internal', 'firm']",['Governance']
389,19,"['consumer protection', 'protection consumer', 'consumer', 'protection', 'laws consumer', 'protection laws', 'act consumer', 'protection act', 'development market', 'initiated actions']","['Social', 'Governance']"
391,19,"['metrics', 'family metrics', 'family', 'inaccuracies', 'changes trends', 'inaccuracies metrics', 'metrics family', 'metrics estimates', 'adjustments', 'error']",['Governance']
449,17,"['procedures policies', 'procedures', 'procedures procedures', 'policies procedures', 'policies', 'implementation procedures', 'areas sharing', 'conduct policies', 'related areas', 'sharing procedures']","['Social', 'Governance']"
492,16,"['directors directors', 'directors', 'individual directors', 'directors arccs', 'directors individual', 'arccs board', 'arccs', 'individual', 'board directors', 'board']",['Governance']
510,16,"['evolving industry', 'industry standards', 'standards evolving', 'evolving', 'standards', 'standards rapid', 'changes changing', 'industry', 'changing industry', 'rapid technological']","['Social', 'Governance']"
512,16,"['policies policies', 'policies', 'economic policies', 'labor policies', 'policies economic', 'new unclear', 'measures economic', 'considerations policies', 'policies new', 'policies protective']","['Social', 'Governance']"
513,16,"['dividend', 'dividends', 'dividends subject', 'pay dividends', 'future dividends', 'discretion board', 'declaration', 'board directors', 'board', 'companys quarterly']",['Governance']
548,15,"['security security', 'security', 'security switching', 'security national', 'switching security', 'national security', 'switching', 'national', '', '']",['Governance']
567,14,"['reputation reputation', 'reputation', 'performance reputation', 'including reputation', 'reputation performance', 'reputation including', 'performance performance', 'performance', 'including', '']",['Governance']
572,14,"['class stockholder', 'stockholder class', 'stockholder', 'class', 'arise class', 'conflicts arise', 'potential conflicts', 'arise', 'conflicts', 'exempt limitation']",['Governance']
574,14,"['industry standards', 'standards industry', 'standards', 'consistent acceptable', 'compatibility adoption', 'chain standards', 'obligations industry', 'bodies industry', 'products operations', 'local testing']","['Social', 'Governance']"
588,14,"['compliance compliance', 'international compliance', 'compliance', 'approved expected', 'apply compliance', 'foreign approved', 'foreign compliance', 'pursuant designed', 'compliance comply', 'compliance wide']","['Social', 'Governance']"
591,14,"['fiduciary contractual', 'contractual duties', 'partnership', 'fiduciary', '162m include', 'aggregation', 'activities concealing', 'concealing', 'compensation paid', 'compensation subject']",['Governance']
626,13,"['brand reputation', 'brand', 'damage brand', 'reputation brand', 'reputation', 'publicity harm', 'reputation harm', 'damage', 'harm reputation', 'business decreased']",['Governance']
674,12,"['privacy compliance', 'compliance oversight', 'privacy', 'related privacy', 'efforts related', 'oversight', 'billion significantly', 'data utilization', 'efforts expect', 'discovery additional']",['Governance']
720,11,"['erisa', 'fiduciary', 'provisions erisa', 'transaction provisions', 'fiduciary responsibility', '4975', '4975 code', 'section 4975', 'erisa section', 'prohibited transaction']",['Governance']
761,11,"['weaknesses', 'material weaknesses', 'weaknesses internal', 'financial reporting', 'reporting', 'controls financial', 'control financial', 'internal control', 'material weakness', 'weakness internal']",['Governance']
769,11,"['contracts contracts', 'contracts', 'government contracts', 'contracts government', 'contracts electronic', 'contracts federal', 'policies contracts', 'contracts policies', 'electronic platforms', 'platforms contracts']",['Governance']
771,11,"['culture', 'corporate culture', 'cultures', 'diverse business', 'corporate', 'difficult maintain', 'diverse', 'benefits corporate', 'contributor success', 'culture corporate']","['Social', 'Governance']"
778,10,"['ownership change', 'ownership', 'undergoes', 'undergoes ownership', 'corporation undergoes', 'ownership changes', 'experience ownership', 'rolling', 'rolling threeyear', 'change ownership']",['Governance']
782,10,"['liquidity reputation', 'reputation liquidity', 'reputation financial', 'earnings reputation', 'reputation', 'flows reputation', 'reputation earnings', 'statements earnings', 'reputation cash', 'price reputation']",['Governance']
792,10,"['protection privacy', 'privacy data', 'data protection', 'privacy', 'protection', 'data privacy', 'different locations', 'locations data', 'correct delete', 'different stringent']","['Social', 'Governance']"
813,10,"['loss unauthorized', 'confidential', 'confidential proprietary', 'protected', 'data loss', 'misuse', 'unauthorized', 'corruption', 'protected information', 'misappropriation loss']",['Governance']
831,10,"['agreements employees', 'confidentiality', 'confidentiality agreements', 'employees confidentiality', 'confidentiality license', 'license agreements', 'employees rely', 'agreements', 'agreements typically', 'confidentiality andor']",['Governance']
834,9,"['able vacancies', 'difficult stockholders', 'stockholders able', 'vacancies', 'members board', 'directors', 'change membership', 'actions delay', 'directors nominated', 'directors corporate']",['Governance']
893,9,"['export controls', 'controls import', 'importexport controls', 'importexport', 'controls export', 'controls', 'import export', 'export', 'import', 'controls exportimport']",['Governance']
911,8,"['employees employees', 'difficult oversee', 'employees difficult', 'conduct persons', 'oversee conduct', 'employees', 'persons employees', 'oversee', 'persons', 'conduct']",['Governance']
949,8,"['liabilities businesses', 'responsibility liabilities', 'liabilities', 'liabilities liabilities', 'responsibility', 'businesses acquire', 'apply responsibility', 'did previously', 'previously apply', 'related predecessor']","['Social', 'Governance']"
969,8,"['trade protection', 'protection measures', 'measures trade', 'measures', 'trade', 'trade protectionist', 'respect trade', 'measures tariffs', 'potential trade', 'protection']","['Social', 'Governance']"
974,8,"['reporting financial', 'financial reporting', 'reporting', 'delayed financial', 'reporting problems', 'reporting including', 'reporting delayed', 'problems financial', 'statement preparation', 'financial statement']",['Governance']
